Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003037,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Gravity & regional perfusion,,,,,,,,,,,,,,,,"West zones (1–3, ±4):  Zone 3: flow ∝ Ppa−Ppv; distension (shunt) ",Organ,Lung,lung,UBERON:0002048,"Extra-alveolar vs alveolar segments, Capillary",lung parenchyma,UBERON:0008946,,increases,X formation,perfusion gradient,,,"West zones (1–3, ±4)", Zone 3: flow ∝ Ppa−Ppv; distension,Gravity & regional perfusion,,Intra-organ,Seconds–minutes,133Xe perfusion imaging,,,,,,,,,,,,Hydrostatic column,,, posture,,, exercise,,,,,,West’s Respiratory Physiology,978-1-9751-3918-27,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003038,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Active vasomotor control,,,,,,,,,,,,,,,,Hypoxic pulmonary vasoconstriction (HPV):  Alveolar PO₂↓ → arteriolar SMC constrict,Cell,Lung,lung,UBERON:0002048,arteriolar SMC,smooth muscle cell,CL:0000192,,increases,X vasoconstriction,hypoxic vasoconstriction,,% change,Hypoxic pulmonary vasoconstriction (HPV), Alveolar PO₂↓ → arteriolar SMC constrict,Active vasomotor control,,Cellular,Seconds–minutes,Vasoreactivity,,,Inhaled Nitric Oxide,,,,,,,,,Endothelin/TXA₂ constrict,,, NO/cGMP dilate,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-28,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003038,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Active vasomotor control,,,,,,,,,,,,,,,,Hypoxic pulmonary vasoconstriction (HPV):  K⁺ channel inhibition → depolarization → Ca²⁺↑,Cell,Lung,lung,UBERON:0002048,lung endothelial cell,lung endothelial cell,CL:1001567,,increases,X process,depolarization and Ca²⁺ entry,,mol·s⁻¹·cell⁻¹,Hypoxic pulmonary vasoconstriction (HPV), K⁺ channel inhibition → depolarization → Ca²⁺↑,Active vasomotor control,,Cellular,Seconds–minutes,Vasoreactivity,,,Inhaled Nitric Oxide,,,,,,,,,Endothelin/TXA₂ constrict,,, NO/cGMP dilate,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-28,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003038,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Active vasomotor control,,,,,,,,,,,,,,,,Hypoxic pulmonary vasoconstriction (HPV):  Redirects flow from hypoxic units,Organ,Lung,lung,UBERON:0002048,Lung,lung,UBERON:0002048,,increases,X redistribution,gas flow,,L·min⁻¹,Hypoxic pulmonary vasoconstriction (HPV), Redirects flow from hypoxic units,Active vasomotor control,,Intra-organ,Seconds–minutes,Vasoreactivity,,,Inhaled Nitric Oxide,,,,,,,,,Endothelin/TXA₂ constrict,,, NO/cGMP dilate,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-28,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003039,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Other tone modifiers,,,,,,,,,,,,,,,,"Constrictors vs dilators:  Constrictors: endothelin, histamine, serotonin, TXA₂, acidemia",Cell,Lung,lung,UBERON:0002048,respiratory system blood vessel smooth muscle cell,smooth muscle cell,CL:0000192,endothelin/histamine/serotonin/TXA₂,increases,X process,vasoconstriction,,%,Constrictors vs dilators," Constrictors: endothelin, histamine, serotonin, TXA₂, acidemia",Other tone modifiers,paracrine,paracrine,Minutes–hours,Vasodilator response,,,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,,,,,,,Drug–tone interplay with lung volume,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-29,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003039,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Other tone modifiers,,,,,,,,,,,,,,,,"Constrictors vs dilators:  Dilators: ACh, CCBs, NO, PDE-5i, PGI₂",Cell,Lung,lung,UBERON:0002048,respiratory system blood vessel smooth muscle cell,smooth muscle cell,CL:0000192,ACh/NO/PGI₂,decreases,X process,vasoconstriction,,%,Constrictors vs dilators," Dilators: ACh, CCBs, NO, PDE-5i, PGI₂",Other tone modifiers,paracrine,paracrine,Minutes–hours,Vasodilator response,,,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,,,,,,,Drug–tone interplay with lung volume,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-29,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003039,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Other tone modifiers,,,,,,,,,,,,,,,,Constrictors vs dilators:  Autonomics: weak,Cell,Lung,lung,UBERON:0002048,respiratory system blood vessel smooth muscle cell,lung endothelial cell,CL:1001567,,does,X process,autonomic influence,,,Constrictors vs dilators, Autonomics: weak,Other tone modifiers,,Cellular,Minutes–hours,Vasodilator response,,,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,,,,,,,Drug–tone interplay with lung volume,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-29,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003040,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Fluid balance (Starling),,,,,,,,,,,,,,,,Prevent edema across 0.3 µm barrier:  Net flux ∝ K[(Pc−Pi) − σ(πc−πi)],Tissue,Lung,lung,UBERON:0002048,Endothelium,lung endothelium,UBERON:0013479,,does,X calculation,fluid flux,,mL·min⁻¹,Prevent edema across 0.3 µm barrier, Net flux ∝ K[(Pc−Pi) − σ(πc−πi)],Fluid balance (Starling),,Segmental (intra-organ),Minutes–hours,Lymph flow,,,edema signs,,,,,,,,,Edema: gas exchange failure when alveoli flood,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-30,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003040,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Fluid balance (Starling),,,,,,,,,,,,,,,,Prevent edema across 0.3 µm barrier:  Interstitium → perivascular/peribronchial sump,Tissue,Lung,lung,UBERON:0002048,interstitium,lung connective tissue,UBERON:0000114,,decreases,X risk,edema,,,Prevent edema across 0.3 µm barrier, Interstitium → perivascular/peribronchial sump,Fluid balance (Starling),,Segmental (intra-organ),Minutes–hours,Lymph flow,,,edema signs,,,,,,,,,Edema: gas exchange failure when alveoli flood,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-30,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003040,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Fluid balance (Starling),,,,,,,,,,,,,,,,Prevent edema across 0.3 µm barrier:  Lymph clearance ↑ with Pc↑,Tissue,Lung,lung,UBERON:0002048,Lymphatic endothelial cell,cycling endothelial cell of lymphatic vessel,CL:4033079,,increases,X clearance,lymph,,mL·min⁻¹,Prevent edema across 0.3 µm barrier, Lymph clearance ↑ with Pc↑,Fluid balance (Starling),,Segmental (intra-organ),Minutes–hours,Lymph flow,,,edema signs,,,,,,,,,Edema: gas exchange failure when alveoli flood,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-30,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003041,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Reservoir & filter,,,,,,,,,,,,,,,,Non-gas functions:  Reservoir: lung blood volume expands with pressure,Organ,Lung,lung,UBERON:0002048,"Vascular bed, lymphatics",lung vasculature,UBERON:0000102,,increases,X storage,blood volume,,mL,Non-gas functions, Reservoir: lung blood volume expands with pressure,Reservoir & filter,,Intra-organ,Minutes–hours,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,perfusion scans,,,,,,,,,Coupled to recruitment/distension,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-31,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003041,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Reservoir & filter,,,,,,,,,,,,,,,,Non-gas functions:  Filter: traps thrombi/WBCs,Organ,Lung,lung,UBERON:0002048,"Vascular bed, lymphatics",lung vasculature,UBERON:0000102,,increases,X filtering,blood,,mL·min⁻¹,Non-gas functions, Filter: traps thrombi/WBCs,Reservoir & filter,,Intra-organ,Minutes–hours,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,perfusion scans,,,,,,,,,Coupled to recruitment/distension,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-31,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003041,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Pulmonary perfusion,pulmonary artery morphogenesis,GO:0061156,Reservoir & filter,,,,,,,,,,,,,,,,Non-gas functions: Alveolar-Capillary Barrier does Immunologic/metabolic roles,Organ,Lung,lung,UBERON:0002048,"Vascular bed, lymphatics",lung vasculature,UBERON:0000102,,does,X process,immune and metabolic function,,,Non-gas functions,Alveolar-Capillary Barrier does Immunologic/metabolic roles,Reservoir & filter,,Intra-organ,Minutes–hours,Pulmonary Artery Pressure,Pulmonary artery Pressure by US.doppler,104164-9,perfusion scans,,,,,,,,,Coupled to recruitment/distension,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-31,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003042,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Cellular metabolism,DNA metabolic process,GO:0006259,Metabolic functions,metabolic process,GO:0008152,,,,,,,,,,,,,,Modify bloodborne substances:  ACE converts Ang I→Ang II (activation),Cell,Lung,lung,UBERON:0002048,Endothelial cells,lung endothelial cell,CL:1001567,ACE activity,does,X conversion to Y,Angiotensin I (Ang I),Angiotensin II (Ang II),mol·min⁻¹,Modify bloodborne substances, ACE converts Ang I→Ang II (activation),Metabolic functions,intra-organ,Intra-organ,Minutes–hours,"ACE/Ang II activity, drug response",,,,,,,,,,,,Arachidonic pathways,,, platelet effects,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-32,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003042,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Cellular metabolism,DNA metabolic process,GO:0006259,Metabolic functions,metabolic process,GO:0008152,,,,,,,,,,,,,,"Modify bloodborne substances:  Inactivation: bradykinin (ACE), serotonin (uptake), PGE₂/F₂α",Cell,Lung,lung,UBERON:0002048,Endothelial cells,lung endothelial cell,CL:1001567,bradykinin; serotonin; PGE₂; PGF₂α,decreases,X level,vasoactive mediator,,mol·L⁻¹,Modify bloodborne substances," Inactivation: bradykinin (ACE), serotonin (uptake), PGE₂/F₂α",Metabolic functions,paracrine,paracrine,Minutes–hours,"ACE/Ang II activity, drug response",,,,,,,,,,,,Arachidonic pathways,,, platelet effects,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-32,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003042,Blood Flow and Metabolism,detection of renal blood flow,GO:0002000,Cellular metabolism,DNA metabolic process,GO:0006259,Metabolic functions,metabolic process,GO:0008152,,,,,,,,,,,,,,"Modify bloodborne substances:  Little change: Ang II, vasopressin, PGA₁/₂, PGI₂",Cell,Lung,lung,UBERON:0002048,Endothelial cells,lung endothelial cell,CL:1001567,Ang II; vasopressin; PGA₁/₂; PGI₂,does,X maintenance,circulating mediator,,mol·L⁻¹,Modify bloodborne substances," Little change: Ang II, vasopressin, PGA₁/₂, PGI₂",Metabolic functions,circulatory,Circulatory,Minutes–hours,"ACE/Ang II activity, drug response",,,,,,,,,,,,Arachidonic pathways,,, platelet effects,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-32,4,,,,,,,,,
respiratory system process,respiratory system process,GO:0003043,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Define oxygen pathway,oxygen transport,GO:0015671,,,,,,,,,,,,,,"O₂ fall from air → tissues:  Inspired PO₂ ≈ 149 mmHg (sea level, 37°C)",Organ ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X level,inspired oxygen,,,O₂ fall from air → tissues," Inspired PO₂ ≈ 149 mmHg (sea level, 37°C)",Define oxygen pathway,,Intra-organ,Minutes,PAO₂calc (Alv gas eqn),,,,,,,,,,,,Coupled to V̇CO₂,,, R (≈0.8),,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-33,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003043,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Define oxygen pathway,oxygen transport,GO:0015671,,,,,,,,,,,,,,O₂ fall from air → tissues:  Alveolar PO₂ ≈ 100 mmHg (balance of V̇A vs uptake),Organ ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X level,alveolar oxygen,,mmHg,O₂ fall from air → tissues, Alveolar PO₂ ≈ 100 mmHg (balance of V̇A vs uptake),Define oxygen pathway,,Intra-organ,Minutes,PAO₂calc (Alv gas eqn),,,,,,,,,,,,Coupled to V̇CO₂,,, R (≈0.8),,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-33,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003044,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Five causes of hypoxemia,,,,,,,,,,,,,,,,Categorize mechanisms:  Hypoventilation,Organ ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,Xprocess,ventilation,,L·min⁻¹,Categorize mechanisms, Hypoventilation,Five causes of hypoxemia,,Intra-organ,Minutes–hours,A–a gradient,,,response to 100% O_,,,,,,,,,Mechanism-specific patterns,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-34,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003044,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Five causes of hypoxemia,,,,,,,,,,,,,,,,Categorize mechanisms:  Diffusion limitation,Organ ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X diffusion,oxygen diffusion,,mL·min⁻¹,Categorize mechanisms, Diffusion limitation,Five causes of hypoxemia,,Intra-organ,Minutes–hours,A–a gradient,,,response to 100% O_,,,,,,,,,Mechanism-specific patterns,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-34,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003044,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Five causes of hypoxemia,,,,,,,,,,,,,,,,Categorize mechanisms:  Shunt,Organ ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X process,arterial oxygenation,,mmHg,Categorize mechanisms, Shunt,Five causes of hypoxemia,,Intra-organ,Minutes–hours,A–a gradient,,,response to 100% O_,,,,,,,,,Mechanism-specific patterns,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-34,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003044,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Five causes of hypoxemia,,,,,,,,,,,,,,,,Categorize mechanisms:  V̇/Q̇ mismatch,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X matching,ventilation–perfusion,,,Categorize mechanisms, V̇/Q̇ inequality,Five causes of hypoxemia,,Intra-organ,Minutes–hours,A–a gradient,,,response to 100% O_,,,,,,,,,Mechanism-specific patterns,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-34,5,,,,,,,,,
,,,,,,,,,Five causes of hypoxemia,,,,,,,,,,,,,,,,Categorize mechanisms:  Low Fi02 (normal A-a gradient) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
respiratory system process,respiratory system process,GO:0003045,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Hypoventilation,,,,,,,,,,,,,,,,Low alveolar ventilation:  Alv vent eqn: PaCO₂ ∝ V̇CO₂/V̇A,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X equation,alveolar ventilation,,L·min⁻¹,Low alveolar ventilation, Alv vent eqn: PaCO₂ ∝ V̇CO₂/V̇A,Hypoventilation,,Intra-organ,Seconds–minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Alveolar Partial Pressure of Oxygen,,,,,,,,,O₂easily reverses hypoxemia,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-35,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003045,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Hypoventilation,,,,,,,,,,,,,,,,Low alveolar ventilation:  Alv gas eqn links PAO₂ to PaCO₂ & R,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X equation,alveolar gas,,mmHg,Low alveolar ventilation, Alv gas eqn links PAO₂ to PaCO₂ & R,Hypoventilation,,Intra-organ,Seconds–minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Alveolar Partial Pressure of Oxygen,,,,,,,,,O₂easily reverses hypoxemia,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-35,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003045,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Hypoventilation,,,,,,,,,,,,,,,,Low alveolar ventilation:  CO₂ stores delay steady state,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X attainment,steady state,,s,Low alveolar ventilation, CO₂ stores delay steady state,Hypoventilation,,Intra-organ,Seconds–minutes,Cardiac Output,Cardiac output alteration [CCC],28149-3,Alveolar Partial Pressure of Oxygen,,,,,,,,,O₂easily reverses hypoxemia,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-35,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003046,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Diffusion limitation,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Incomplete equilibration O₂:  Normal rest: end-capillary ≈ PAO₂,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X equilibrium,oxygen equilibration,,,Incomplete equilibration O₂, Normal rest: end-capillary ≈ PAO₂,Diffusion limitation,,Intra-organ,Seconds,Diffusing Capacity of the Lung for Carbon Monoxide,,,exercise desat,,,,,,,,,Interacts with PAO_,,, time,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-36,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003046,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Diffusion limitation,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Incomplete equilibration O₂:  Exercise/thickened barrier/low PAO₂ → slower rise,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X equilibrium,oxygen equilibration,,s⁻¹,Incomplete equilibration O₂, Exercise/thickened barrier/low PAO₂ → slower rise,Diffusion limitation,,Intra-organ,Seconds,Diffusing Capacity of the Lung for Carbon Monoxide,,,exercise desat,,,,,,,,,Interacts with PAO_,,, time,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-36,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003046,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Diffusion limitation,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Incomplete equilibration O₂:  Rarely causes rest hypoxemia at sea level,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,does,X maintenance,resting oxygenation,,mmHg,Incomplete equilibration O₂, Rarely causes rest hypoxemia at sea level,Diffusion limitation,,Sytemic,Seconds,Diffusing Capacity of the Lung for Carbon Monoxide,,,exercise desat,,,,,,,,,Interacts with PAO_,,, time,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-36,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003047,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Shunt physiology,,,,,,,,,,,,,,,,Venous blood bypasses ventilated alveoli:  Sources: bronchial & thebesian flow (~5%),Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X contribution,physiologic shunt,,%,Venous blood bypasses ventilated alveoli, Sources: bronchial & thebesian flow (~5%),Shunt physiology,,Intra-organ,Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,O₂dissociation curve explains poor response,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-37,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003047,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Shunt physiology,,,,,,,,,,,,,,,,"Venous blood bypasses ventilated alveoli:  Pathologic: intracardiac, AVMs, consolidated lung",Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,increases,X contribution,pathologic shunt,,%,Venous blood bypasses ventilated alveoli," Pathologic: intracardiac, AVMs, consolidated lung",Shunt physiology,,Intra-organ,Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,O₂dissociation curve explains poor response,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-37,5,,,,,,,,,
